#timestamp(s) tx ty tz qx qy qz qw
1403636580.863555431 -0.00598 0.01268 -0.10695 0.83464 0.03349 0.54901 -0.02895
1403636580.963555574 -0.00023 0.01432 -0.03062 0.82613 0.03341 0.56213 -0.02032
1403636581.063555479 0.00383 0.01705 0.04025 0.81854 0.03432 0.57304 -0.02123
1403636581.163555384 0.00703 0.01755 0.10225 0.81054 0.03065 0.58441 -0.02351
1403636581.263555527 0.00796 0.01599 0.15156 0.80090 0.02653 0.59762 -0.02636
1403636581.363555431 0.00533 0.01383 0.17883 0.79344 0.02687 0.60749 -0.02628
1403636581.463555574 0.00302 0.01112 0.17230 0.79433 0.02918 0.60645 -0.02033
1403636581.563555479 0.00146 0.00833 0.13347 0.80138 0.02961 0.59716 -0.01775
1403636581.663555384 0.00008 0.00590 0.07461 0.80837 0.02809 0.58763 -0.02087
1403636581.763555527 -0.00138 0.00220 0.00877 0.81147 0.02946 0.58322 -0.02245
1403636581.863555431 -0.00468 0.00052 -0.05908 0.81377 0.03153 0.57975 -0.02603
1403636581.963555574 -0.00910 -0.00017 -0.12516 0.82052 0.02894 0.57023 -0.02740
1403636582.063555479 -0.01037 0.00169 -0.18270 0.83020 0.02647 0.55630 -0.02438
1403636582.163555384 -0.01213 0.00502 -0.22071 0.83890 0.02833 0.54295 -0.02540
1403636582.263555527 -0.01227 0.00850 -0.22919 0.84390 0.03078 0.53494 -0.02693
1403636582.363555431 -0.00967 0.01236 -0.20166 0.84304 0.03151 0.53611 -0.02957
1403636582.463555574 -0.00700 0.01601 -0.14902 0.83528 0.03101 0.54809 -0.03079
1403636582.563555479 -0.00310 0.01766 -0.08523 0.82881 0.03084 0.55800 -0.02742
1403636582.663555384 0.00000 0.01728 -0.01835 0.82572 0.02945 0.56288 -0.02183
1403636582.763555527 0.00307 0.01516 0.04779 0.82252 0.02541 0.56778 -0.02102
1403636582.863555431 0.00720 0.01087 0.11277 0.81614 0.01665 0.57733 -0.01811
1403636582.963555574 0.00848 0.00697 0.16996 0.80649 0.01111 0.59092 -0.01646
1403636583.063555479 0.00645 0.00483 0.20465 0.79835 0.01055 0.60191 -0.01504
1403636583.163555384 0.00498 0.00346 0.20749 0.79692 0.01146 0.60388 -0.01094
1403636583.263555527 0.00483 0.00335 0.17891 0.79884 0.01407 0.60130 -0.00959
1403636583.363555431 0.00427 0.00229 0.12896 0.80150 0.01580 0.59769 -0.01079
1403636583.463555574 0.00206 -0.00016 0.06565 0.80481 0.01966 0.59304 -0.01393
1403636583.563555479 0.00092 -0.00280 -0.00305 0.80927 0.02314 0.58682 -0.01402
1403636583.663555384 0.00306 -0.00594 -0.07450 0.81744 0.02409 0.57532 -0.01477
1403636583.763555527 0.00147 -0.00629 -0.13887 0.83013 0.02108 0.55673 -0.02213
1403636583.863555431 -0.00046 -0.00639 -0.19219 0.83999 0.01966 0.54172 -0.02401
